,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language,User Created,Astroturf,Fake follower,Financial,Other,Overall,Self declared,Spammer,Cap,Bot scores
93434,93434,93434,2022-03-05 23:47:24+00:00,1.50026E+18,"It's official. All transactions stopped.

Bye, bye Russia!

#Ukraine 🇺🇦💪
#StandWithUkraine️ https://t.co/wYKnq9ur9F",LiftForever67,71.0,Jeffrey Ⓥ,en,23/11/2017,0.81,0.39,0.04,0.46,0.81,0.0,0.0,0.81620431,0.9833244
95405,95405,95405,2022-03-05 23:19:18+00:00,1.50025E+18,"You know, there are Americans who've been stranded in Russia through no fault of their own and now can't even use their credit cards. This makes no tangible sense, just virtue signaling; it won't help Ukraine https://t.co/z9e0whKCeK",JoJoMarks4,0.0,jojomarks81,en,05/03/2021,0.93,0.04,0.02,0.29,0.93,0.0,0.01,0.891231856,0.98729837
95637,95637,95637,2022-03-05 23:16:05+00:00,1.50025E+18,"@JustitiaMatrona @Liz_Cheney @PreetBharara Rubio didn't show up for the SOTU either. Says he didn't have time for a Covid test, but probably didn't want Russia to see him clapping for Ukraine.",amyjdean,87.0,Vote Blue in 2022 (she/her),en,02/12/2008,0.87,0.06,0.0,0.19,0.87,0.01,0.01,0.845754353,0.981891
97680,97680,97680,2022-03-06 23:40:07+00:00,1.50062E+18,Christ on a bike! 👀😳😮🤦‍♂️ #Oil #Gas #Energy #EnergyCrisis #Ukraine #Russia #OOTT https://t.co/AoYE4JoVxV,UxbEconomist07,4.0,UxbEconomist 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿,en,11/05/2016,0.86,0.13,0.0,0.35,0.86,0.01,0.0,0.839586355,0.9989507
98646,98646,98646,2022-03-06 23:25:36+00:00,1.50061E+18,YOU AIN’T SEEN NOTHING YET-SUCKERS!  “Russia-Ukraine: Gas prices top $4 per gallon for first time since 2008”,IrvingSpud,1.0,Irving Spud,en,21/09/2018,0.81,0.44,0.01,0.5,0.81,0.11,0.09,0.81620431,0.99836344
99065,99065,99065,2022-03-06 23:19:25+00:00,1.50061E+18,"Russia Closes in on Mariupol, Worldwide Inflation Surges, China Cools on Mediation, Refuses to Pressure Russia https://t.co/sa5g6JTvfz #ukraine #russia via @YouTube",futuredude,1.0,William Murphy,en,09/01/2009,0.83,0.16,0.0,0.27,0.13,0.0,0.0,0.553972572,0.9866741
101113,101113,101113,2022-03-07 23:47:56+00:00,1.50098E+18,Russia-Ukraine war: NYC on 'ultra-high alert' amid increased risk of Russian retaliatory cyberattack https://t.co/TAYu1BLAsu #FoxNews,Jamesw74,0.0,James Stephens,en,12/04/2009,0.75,0.12,0.0,0.34,0.12,0.0,0.0,0.528866478,0.9932766
104059,104059,104059,2022-03-07 22:59:20+00:00,1.50097E+18,"@TruthJoyLove @joncoopertweets @joncoopertweets @AVindman @ZelenskyyUa
@MFA_Ukraine @Expansion_Crush @USNATO @ChineseEmbinUS @SecBlinken

Russia, @mfa_russia @RussianEmbassy, At this point I dont care what Pootyn  says without the immediate withdraw from Ukraine and Crimea.

https://t.co/tEzCq6xvhK",SpencerLeone,2.0,Spencer Leone,en,18/08/2012,0.88,0.06,0.0,0.24,0.12,0.0,0.01,0.528866478,0.9884158
104337,104337,104337,2022-03-07 22:54:41+00:00,1.50097E+18,"@youngbraveheart @JJaniel530 Reason enough to attack by Russia, plus read this to learn why American Marxists support Ukraine, https://t.co/H4jbrlqzAF",AbbFernando,1.0,ABBAsFernando,en,03/11/2018,0.72,0.3,0.0,0.23,0.26,0.0,0.02,0.75462187,0.99466586
105722,105722,105722,2022-03-08 23:38:50+00:00,1.50134E+18,"I have complete empathy for the people of Ukraine and Russia!

However I don’t trust:

The MSM

The current Administration 

The Russian government 
Or
The Ukrainian government",KathyTh28476041,1.0,KWT,en,12/06/2020,0.71,0.3,0.0,0.26,0.22,0.0,0.02,0.717691108,0.984935
105818,105818,105818,2022-03-08 23:37:23+00:00,1.50134E+18,WHY are so many of you still Believing the MSM/Fox's version of Ukraine - Russia? How many YEARS must they LIE to you? Yet you're STILL sucking UP these Lies; hook line sinker. God help the Ignorance of people.,mellafinger,13.0,Mellafinger,en,10/04/2009,0.78,0.28,0.04,0.33,0.78,0.0,0.0,0.807603545,0.988493
106115,106115,106115,2022-03-08 23:32:31+00:00,1.50134E+18,"…turning on itself in the 1990s Balkan Wars.

Putin considers Ukraine the crown jewel of Russian territory. It broke free from USSR in 1989. Russia annexed the Ukrainian territory of Crimea in 2014. The eastern part of Ukraine has pro-Russian citizens in it, creating an…2)",9072021,0.0,DJIA🇺🇸🇺🇦,en,10/10/2011,0.87,0.11,0.0,0.2,0.87,0.0,0.01,0.845754353,0.9888713
107513,107513,107513,2022-03-08 23:09:35+00:00,1.50133E+18,"Woooo, how time flies. Soon Putin will want a no time fly zone.... #Putin #Russia #Ukraine https://t.co/mKud5lG1aW",PaulStewartII,1.0,Paul Stewart II,en,01/05/2011,0.74,0.1,0.07,0.28,0.19,0.0,0.0,0.676361906,0.98883635
108527,108527,108527,2022-03-09 23:59:41+00:00,1.50171E+18,@CNNPolitics The Republican Party is supporting Russia’s Attack on Ukraine but how many times has the MSM news reported this Fact when @jaketapper @chucktodd Of @MSNBC has these same Vladimir Putin Republican’s on @CNN to Attack Joe Biden. Also the war with Ukraine by Russia is Europe’s WAR.,DARDYER,0.0,I SEE DARLIGHT💡,en,23/04/2009,0.72,0.05,0.0,0.28,0.24,0.0,0.01,0.738478317,0.98739004
109720,109720,109720,2022-03-09 23:38:38+00:00,1.5017E+18,@MarshaBlackburn Trump knew that Putin wanted to invade Ukraine. Trump purposely lost the election so that Biden would be president when that took place. Trump knew that Biden would cut off oil from Russia and that would cause prices to go up. Then Biden would look bad. It’s all Trump‘s doing. https://t.co/YdYRtfUjaN,OnceAgainImback,0.0,Once Again,en,17/02/2021,0.87,0.28,0.0,0.22,0.87,0.07,0.02,0.845754353,0.98377395
109794,109794,109794,2022-03-09 23:37:16+00:00,1.5017E+18,The Palestinian Authority's Russia-Ukraine dilemma https://t.co/q4odihyYQh,TabithaStevens8,0.0,Tabitha Stevens8,en,04/05/2009,0.75,0.04,0.0,0.26,0.14,0.01,0.0,0.577886208,0.9938451
110928,110928,110928,2022-03-09 23:17:45+00:00,1.5017E+18,"@MalcolmNance What do you think we can do/will do, if Russia uses chemical weapons in Ukraine?",TruthOuter,4.0,Robert Phipps,en,14/11/2012,0.87,0.12,0.0,0.29,0.87,0.0,0.0,0.845754353,0.9925213
